Codi_Districte,Nom_Districte,Nom_Carrer,title,size,price,Vigilancia,Columnas,Tipo plaza,Puerta,Planta,Ciudad,Personas,Promedio_Euros,Vehicles
4,Les Corts,Sants,"Garaje en Sants, Barcelona",12 m²,19.500 €,Si,None,grande,None,planta -2," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",12 m²,19.500 €,Si,None,grande,None,planta -2," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",12 m²,19.500 €,Si,None,grande,None,planta -2," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",12 m²,19.500 €,Si,None,grande,None,planta -2," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",12 m²,19.500 €,Si,None,grande,None,planta -2," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Sants,"Garaje en Sants, Barcelona",12 m²,21.000 €,No,None,None,automática,None," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",12 m²,21.000 €,No,None,None,automática,None," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",12 m²,21.000 €,No,None,None,automática,None," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",12 m²,21.000 €,No,None,None,automática,None," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",12 m²,21.000 €,No,None,None,automática,None," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Sants,"Garaje en Sants, Barcelona",14 m²,33.000 €,Si,None,None,automática,segunda planta," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",14 m²,33.000 €,Si,None,None,automática,segunda planta," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",14 m²,33.000 €,Si,None,None,automática,segunda planta," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",14 m²,33.000 €,Si,None,None,automática,segunda planta," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",14 m²,33.000 €,Si,None,None,automática,segunda planta," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Pl Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Ctra S Creu Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Ctra Sarrià Vallvi,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Av Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Rier Blanca Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Camí Cement Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Major de Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
5,Sarrià-Sant Gervasi,Menor de Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
4,Les Corts,Av Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",81074,22022.0350877193,48622
5,Sarrià-Sant Gervasi,Pare Miquel Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",148201,25606.7755102041,102272
4,Les Corts,Camí Vell Sarrià,"Garaje en Sarrià, Barcelona",9 m²,20.400 €,No,None,mediano,None,sótano," Barcelona",81074,22022.0350877193,48622
