"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"04028","619","666","164","94","661","366","1048","80","157","07-05-2023 10:00:04"
"04029","517","626","153","74","553","363","1025","29","89","07-05-2023 10:00:04"
"04030","825","974","246","154","822","577","1589","79","131","07-05-2023 10:00:04"
"04031","1123","1168","275","226","1345","445","1444","99","748","07-05-2023 10:00:04"
"04032","718","864","184","127","845","426","1346","41","195","07-05-2023 10:00:04"
"04033","522","629","142","83","602","324","980","43","128","07-05-2023 10:00:04"
"04034","672","760","146","129","653","504","1303","43","86","07-05-2023 10:00:04"
"04035","634","756","163","112","688","427","1188","72","130","07-05-2023 10:00:04"
"04036","784","978","214","184","937","427","1402","74","286","07-05-2023 10:00:04"
"04037","989","1210","230","220","1144","605","1820","77","302","07-05-2023 10:00:04"
"04038","569","685","118","117","626","393","1060","48","146","07-05-2023 10:00:04"
"04039","550","644","150","117","677","250","977","50","167","07-05-2023 10:00:04"
"04040","806","806","201","180","953","278","1193","85","334","07-05-2023 10:00:04"
"04041","644","712","135","107","813","301","1028","40","288","07-05-2023 10:00:04"
"04042","845","988","164","156","995","518","1454","59","320","07-05-2023 10:00:04"
"04043","748","870","178","124","763","553","1465","40","113","07-05-2023 10:00:04"
"04044","787","841","168","132","921","407","1294","82","252","07-05-2023 10:00:04"
"04045","663","761","187","101","750","386","1173","58","193","07-05-2023 10:00:04"
"04046","1157","1245","277","224","1080","821","2158","95","149","07-05-2023 10:00:04"
"04047","905","1026","260","167","986","518","1671","67","193","07-05-2023 10:00:04"
"04048","698","805","167","122","773","441","1304","69","130","07-05-2023 10:00:04"
"04049","550","649","159","182","582","276","910","83","206","07-05-2023 10:00:04"
"04050","968","1074","311","233","925","573","1842","90","110","07-05-2023 10:00:04"
"04051","761","926","256","187","856","388","1436","76","175","07-05-2023 10:00:04"
"04052","975","1245","322","282","983","633","1898","127","195","07-05-2023 10:00:04"
"04053","832","938","259","220","983","308","1233","129","408","07-05-2023 10:00:04"
"04054","510","573","159","135","481","308","885","55","143","07-05-2023 10:00:04"
"04055","760","831","282","239","699","371","1212","229","150","07-05-2023 10:00:04"
"04056","902","987","265","352","913","359","1261","198","430","07-05-2023 10:00:04"
"04084","664","754","181","153","645","439","1224","65","129","07-05-2023 10:00:04"
"05001","953","928","309","235","1105","232","1492","199","190","07-05-2023 10:00:04"
"05002","777","856","245","202","799","387","1371","144","118","07-05-2023 10:00:04"
"05003","678","721","257","156","741","245","1192","105","102","07-05-2023 10:00:04"
"05004","467","619","165","128","478","315","943","64","79","07-05-2023 10:00:04"
